campus_id,timestamp,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,21-12-2024,16.2,,,0,1016.2,74,6.8
0,22-12-2024,17,,,0,1015.2,96,11
0,23-12-2024,16.1,,,2.4,1014.8,95,15.5
0,24-12-2024,16.5,,,0,1016.3,71,11.5
0,25-12-2024,16.6,,,0,1019.1,49,10.1
0,26-12-2024,17.3,,,0.2,1020.5,65,13.3
0,27-12-2024,16.1,,,0,1018.5,74,16.2
0,28-12-2024,16,,,0.6,1018.9,4,6.3
0,29-12-2024,11.1,,,0,1021.5,5,5.6
0,30-12-2024,11.4,,,0,1021,13,6.2
0,31-12-2024,9.5,,,0,1021.5,99,7.6
1,01-01-2024,11.8,,,0,1018.9,276,2.5
1,02-01-2024,11,,,0,1018.4,266,2.1
1,03-01-2024,10.4,,,0,1018.3,277,1.9
1,04-01-2024,11,,,0,1018.4,318,4.9
1,05-01-2024,11.6,,,0,1018.4,322,2.3
1,06-01-2024,11.6,,,0,1019.8,317,1.6
1,07-01-2024,11.6,,,0,1020.5,326,1.9
1,08-01-2024,11.2,,,0,1020.4,311,1.7
1,09-01-2024,11.4,,,0,1020.3,266,4.9
1,10-01-2024,10.5,,,0,1019.1,230,7.6
1,11-01-2024,10.7,,,0,1019.5,219,5.3
1,12-01-2024,10.5,,,0,1018.5,229,2.9
1,13-01-2024,10.3,,,0,1017.8,184,1.7
1,14-01-2024,10.9,,,0,1017.7,293,1.5
1,15-01-2024,10.4,,,0,1017.3,272,4
1,16-01-2024,9.9,,,0,1015.6,244,3.9
1,17-01-2024,10.6,,,0,1015.4,340,3.3
1,18-01-2024,10.9,,,0,1017.3,237,1.7
1,19-01-2024,11,,,0,1018.9,187,3.1
1,20-01-2024,11,,,0,1019.3,250,2.9
1,21-01-2024,9.9,,,0,1018.7,237,6.2
1,22-01-2024,10.5,,,0,1019.7,216,2.8
1,23-01-2024,11.7,,,0,1018.7,223,2.9
1,24-01-2024,10.9,,,0,1018.5,304,1.3
1,25-01-2024,11.3,,,0,1020.8,272,2.1
1,26-01-2024,11.8,,,0,1021.4,296,1.4
1,27-01-2024,13.5,,,0,1019.7,225,5.2
1,28-01-2024,13.1,,,0,1018.2,107,3.5
1,29-01-2024,14.4,,,0,1018,6,2.6
1,30-01-2024,13.8,,,0,1017.2,284,2
1,31-01-2024,13.5,,,14.8,1016,140,3.2
1,01-02-2024,14.9,,,26.9,1015.9,139,6.2
1,02-02-2024,13.2,,,0.5,1019.2,239,4.5
1,03-02-2024,14.9,,,0,1017.8,278,4.6
1,04-02-2024,16.3,,,3,1016.3,116,5.3
1,05-02-2024,15.7,,,0.3,1017.6,286,4.6
1,06-02-2024,13.4,,,0,1019.9,304,5.1
1,07-02-2024,13.7,,,0,1020.6,266,8.8
1,08-02-2024,14.5,,,0,1018.9,249,13.5
1,09-02-2024,14.9,,,0,1018.9,248,5.6
1,10-02-2024,14.2,,,0,1021.4,336,1.6
1,11-02-2024,14.8,,,0,1020.8,275,2.6
1,12-02-2024,15.1,,,0,1019.8,299,1.2
1,13-02-2024,15.7,,,0,1019,338,2.1
1,14-02-2024,16.5,,,0,1018.5,298,2.9
1,15-02-2024,16.8,,,0,1019.3,275,2.9
1,16-02-2024,16.5,,,0,1019.6,277,2.4
1,17-02-2024,16.7,,,0,1015.3,263,3.7
1,18-02-2024,18.3,,,0,1012.3,139,3.6
1,19-02-2024,20.6,,,0.2,1010.2,132,10.4
1,20-02-2024,20.9,,,3,1010,141,6.6
1,21-02-2024,19.2,,,0,1010.2,202,5.7
1,22-02-2024,18.4,,,0,1012.7,290,2.7
1,23-02-2024,16.3,,,0,1015.8,285,3.5
1,24-02-2024,16.1,,,0,1016.2,274,2
1,25-02-2024,16.8,,,0,1018.2,16,2.6
1,26-02-2024,17.4,,,0,1018.3,325,5.7
1,27-02-2024,18.2,,,0,1017.8,324,4.9
1,28-02-2024,17.9,,,0,1016,283,7.3
1,29-02-2024,18.8,,,0,1014.7,267,6.2
1,01-03-2024,20.3,,,0.3,1013.4,94,5
1,02-03-2024,21.6,,,0.3,1010.9,137,13.6
1,03-03-2024,20.2,,,4.1,1011.7,147,6
1,04-03-2024,17.3,,,0,1015.7,322,3.5
1,05-03-2024,16.4,,,0,1017.3,288,7.8
1,06-03-2024,16.7,,,0,1015.6,271,7.7
1,07-03-2024,17.6,,,0,1014.8,290,4.2
1,08-03-2024,18.4,,,0,1015.5,287,5.7
1,09-03-2024,18.4,,,0,1015.6,285,7.8
1,10-03-2024,19.2,,,0,1015,282,5.2
1,11-03-2024,21.6,,,0,1015.7,75,2.9
1,12-03-2024,22.1,,,0,1014.1,305,4.7
1,13-03-2024,21.7,,,0,1011.4,219,5
1,14-03-2024,22.8,,,0,1013.8,328,4.2
1,15-03-2024,21.2,,,0,1013.8,272,7.3
1,16-03-2024,20.7,,,0,1015.2,282,3
1,17-03-2024,20.9,,,0,1014.7,290,3.2
1,18-03-2024,21.2,,,0,1013.2,281,4.7
1,19-03-2024,21.9,,,0,1012.5,256,4.1
1,20-03-2024,23,,,0,1012.5,304,3.1
1,21-03-2024,22.4,,,0,1012.4,68,5.9
1,22-03-2024,24.5,,,0,1009.1,15,4.9
1,23-03-2024,25.3,,,0,1007.5,297,5.3
1,24-03-2024,24,,,0,1009.8,279,6.2
1,25-03-2024,24.8,,,0,1011.5,275,7.4
1,26-03-2024,25.6,,,0,1010.3,262,5.9
1,27-03-2024,27.2,,,0,1011.8,267,3.3
1,28-03-2024,27.9,,,0,1009.1,313,4.1
1,29-03-2024,27.8,,,0,1008.1,41,4.1
1,30-03-2024,27.8,,,0,1008.8,92,6.2
1,31-03-2024,26.8,,,0,1010.1,283,6.5
1,01-04-2024,25.2,,,0,1008.5,277,10
1,02-04-2024,25.2,,,0,1007,283,8.6
